epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8957,1.39444,2.24446,1.5154,0.40494,0.3535,0.31048,0.17135,1.43311,2.23961,1.58993,0.000654971,0.000654971,0.000654971
2,23.5919,1.42799,1.73591,1.53425,0.43861,0.46269,0.39291,0.20189,1.68619,2.16577,1.81667,0.00130855,0.00130855,0.00130855
3,35.0222,1.48212,1.69655,1.58236,0.36982,0.38806,0.30523,0.15179,1.73612,2.1152,1.91123,0.00194894,0.00194894,0.00194894
4,45.5032,1.48695,1.66975,1.58094,0.23542,0.28542,0.15584,0.06915,1.94689,2.92358,2.09106,0.0019406,0.0019406,0.0019406
5,57.1481,1.43822,1.59661,1.55634,0.3194,0.44462,0.29296,0.14515,1.76738,2.53091,1.92202,0.0019208,0.0019208,0.0019208
6,69.7611,1.45007,1.55293,1.56642,0.56277,0.51846,0.54246,0.31002,1.49333,1.60591,1.60208,0.001901,0.001901,0.001901
7,84.6377,1.44265,1.49097,1.52925,0.53129,0.53426,0.51953,0.2975,1.57642,1.68096,1.67558,0.0018812,0.0018812,0.0018812
8,102.411,1.39594,1.41891,1.52054,0.49779,0.52003,0.50053,0.27658,1.58792,1.67966,1.70635,0.0018614,0.0018614,0.0018614
9,120.259,1.38795,1.43057,1.53263,0.53017,0.53181,0.53522,0.31879,1.45725,1.57675,1.6457,0.0018416,0.0018416,0.0018416
10,143.673,1.36911,1.40302,1.49357,0.61064,0.57659,0.61547,0.36797,1.39372,1.51121,1.52262,0.0018218,0.0018218,0.0018218
11,160.025,1.39335,1.4098,1.51707,0.57257,0.60173,0.60615,0.37017,1.44257,1.60142,1.56309,0.001802,0.001802,0.001802
12,176.462,1.3575,1.37869,1.51828,0.5538,0.56256,0.56038,0.3353,1.44721,1.47225,1.57548,0.0017822,0.0017822,0.0017822
13,196.29,1.35723,1.35113,1.47435,0.61962,0.58479,0.6424,0.40683,1.35139,1.31088,1.53754,0.0017624,0.0017624,0.0017624
